Datum,DAX50ESGneu,HDAXneu,DAX39ESG,HDAX73
30.01.09,405.6681888,452.2981376,405.6681888,453.6883401
02.02.09,397.9312167,444.0924319,397.9312167,445.3927628
03.02.09,406.3677925,453.0313293,406.3677925,454.2469042
04.02.09,414.5931075,461.0427676,414.5931075,462.2902786
05.02.09,417.2971651,463.9856014,417.2971651,465.3982651
06.02.09,430.5248644,476.1766387,430.5248644,477.6210499
09.02.09,436.1420752,478.7372356,436.1420752,480.1296022
10.02.09,421.1916958,464.6072249,421.1916958,465.9506169
11.02.09,421.3299258,463.4495043,421.3299258,464.7700352
12.02.09,411.5565504,454.2252738,411.5565504,455.4487383
13.02.09,414.2488594,457.8620872,414.2488594,458.9031853
16.02.09,409.6639576,454.0481071,409.6639576,455.0208414
17.02.09,393.0663323,440.5781045,393.0663323,441.3612551
18.02.09,390.9490899,438.3726225,390.9490899,439.0490655
19.02.09,392.1677849,440.5984,392.1677849,441.1260542
20.02.09,373.8540052,422.3919229,373.8540052,422.9306714
23.02.09,365.2771386,413.2593558,365.2771386,413.8042426
24.02.09,359.5662126,407.3622418,359.5662126,407.7812929
25.02.09,359.9216784,408.3230058,359.9216784,408.8942173
26.02.09,371.9059714,418.0669681,371.9059714,418.7010027
27.02.09,363.4478826,410.7671157,363.4478826,411.6116736
02.03.09,351.7615608,396.7637281,351.7615608,397.5852618
03.03.09,347.1059446,393.1999144,347.1059446,394.089034
04.03.09,364.5913167,411.3040633,364.5913167,412.1050559
05.03.09,342.1971365,388.96198,342.1971365,389.7095009
06.03.09,337.5225567,383.4796034,337.5225567,384.1733943
09.03.09,337.5198219,383.2222888,337.5198219,383.8937502
10.03.09,364.321041,404.5571788,364.321041,405.3603657
11.03.09,368.3899938,406.026619,368.3899938,406.7619023
12.03.09,374.614125,408.7857584,374.614125,409.5983019
13.03.09,373.9502069,410.4473974,373.9502069,411.3572522
16.03.09,383.0221099,418.9603407,383.0221099,419.8879135
